Week Ending,Price,Taxes,Marketing Margin,Refining Margin,Avg Max Temp (°C),Avg Min Temp (°C),Avg Precip (mm),"Total CPI, (seasonally adjusted)",W.BCPI,W.ENER,Fuel Tax Rate
2016-06-28,-0.971169538,-1.26281269,0.46444043429331094,-0.475318844,1.3266824514538245,1.115888148691641,-0.825383628,-1.24822905,-0.98375946,-0.867598653,0.6097105355881632
2016-07-05,-0.971169538,-1.26281269,0.6848355096364624,-0.406122593,1.2832385965822803,0.9374515382957153,-0.737929359,-1.257578674,-0.994583342,-0.865678799,0.6097105355881632
2016-07-12,-1.093427004,-1.31102531,1.0705268914869768,-0.655229098,1.4570140170494466,1.422819928185204,-0.517306093,-1.257578674,-0.979120653,-0.872980061,0.6097105355881632
2016-07-19,-1.132864897,-1.327096184,0.4093416654575233,-0.530675845,1.3238796229300394,1.169991378130373,-0.362273527,-1.257578674,-1.063134596,-1.024532146,0.6097105355881632
2016-07-26,-1.176246578,-1.343167057,0.5195392031290986,-0.530675845,1.5985569006641707,1.4196985878992232,0.013382305749578273,-1.257578674,-1.066374397,-1.034480479,0.6097105355881632
2016-08-02,-1.207796892,-1.359237931,0.6297367408006749,-0.323087091,1.3322881104633753,1.4056525582510122,-0.171464215,-1.24822905,-1.139711721,-1.139112504,0.6097105355881632
2016-08-09,-1.188077946,-1.359237931,0.29914412778594807,-0.309247841,1.548105971540193,1.422819928185204,-0.964515417,-1.24822905,-1.222989345,-1.270506126,0.6097105355881632
2016-08-16,-1.235403417,-1.375308804,0.5746379719648872,-0.7659431,1.510034205817059,1.6069789963183296,1.5815963369836012,-1.24822905,-1.18065103,-1.199500629,0.6097105355881632
2016-08-23,-1.156527632,-1.343167057,0.4093416654575233,-0.807460851,1.3070626459013865,1.2324181805725858,-0.65842548,-1.24822905,-1.088463952,-1.049839309,0.6097105355881632
2016-08-30,-1.109202161,-1.327096184,0.46444043429331094,-0.627550597,1.4205772354493462,1.3338617349508568,-0.225129334,-1.24822905,-1.02550872,-0.923914361,0.6097105355881632
2016-09-06,-1.203853103,-1.359237931,1.180724429158553,-1.208799109,1.1430971282104392,1.0248490619333062,-0.946627044,-1.229529802,-1.081910718,-0.95884988,0.6097105355881632
2016-09-13,-1.255122363,-1.391379677,0.078749052,-1.416387863,1.3224782076871564,1.2183721498319058,1.3132707422159344,-1.229529802,-1.150535603,-1.067263435,0.6097105355881632
2016-09-20,-1.140752475,-1.327096184,0.46444043429331094,-0.918174853,0.9202721938621781,0.9764682902317738,-0.314571199,-1.229529802,-1.118800275,-0.998730477,0.6097105355881632
2016-09-27,-1.184134157,-1.359237931,0.24404535895015947,-1.167281358,0.6206030214271985,0.6268781956814087,-0.247986699,-1.229529802,-1.168649039,-1.081400539,0.6097105355881632
2016-10-04,-1.089483215,-1.31102531,0.24404535895015947,-1.153442108,0.4550025196132181,0.828204634,-0.541157257,-1.20148093,-1.093618182,-0.988956676,0.6097105355881632
2016-10-11,-1.034270166,-1.278883564,-0.086547254,-1.208799109,0.3793261269082416,0.3802923251060706,-0.80352006,-1.20148093,-1.023078868,-0.839295356,0.6097105355881632
2016-10-18,-1.06187669,-1.294954437,0.29914412778594807,-1.361030862,0.5629114501516267,0.5191919607311754,-0.827371224,-1.20148093,-0.976249011,-0.721806129,0.6097105355881632
2016-10-25,-1.002719852,-1.26281269,0.023650283607008944,-1.153442108,-0.167225599,-0.003632511,-0.296682826,-1.20148093,-0.979636076,-0.719217235,0.6097105355881632
2016-11-01,-1.022438798,-1.278883564,0.4093416654575233,-1.070406606,-0.262521798,-0.346979925,-0.356310736,-1.220180178,-1.017261952,-0.786528468,0.6097105355881632
2016-11-08,-1.026382587,-1.278883564,0.24404535895015947,-0.613711347,0.061204993,0.024459550311484002,0.5858102409478447,-1.220180178,-1.076241065,-0.917107607,0.6097105355881632
2016-11-15,-1.211740681,-1.359237931,0.6297367408006749,-1.25031686,-0.151109331,-0.400042707,-0.964515417,-1.220180178,-1.157383365,-1.07494285,0.6097105355881632
2016-11-22,-1.278785098,-1.391379677,-0.031448485,-1.485584114,-0.509170782,-0.548306364,-0.612710749,-1.220180178,-1.163494809,-1.094141386,0.6097105355881632
2016-11-29,-1.176246578,-1.343167057,0.078749052,-1.208799109,-0.699763179,-0.403164047,-0.177427006,-1.220180178,-1.082499772,-0.965947521,0.6097105355881632
2016-12-06,-1.06187669,-1.294954437,-0.251843561,-1.181120608,-0.713777326,-0.418770748,0.10282417053300229,-1.182781681,-1.049365439,-0.93060476,0.6097105355881632
2016-12-13,-1.034270166,-1.278883564,0.3542428966217357,-1.291834611,-1.312181395,-1.144482328,0.10282417053300229,-1.182781681,-0.925001243,-0.694113694,0.6097105355881632
2016-12-20,-1.018495009,-1.278883564,-0.086547254,-1.236477609,-1.704577506,-1.725051592,0.1087869614072585,-1.182781681,-0.906814175,-0.651906002,0.6097105355881632
2016-12-27,-0.896237542,-1.21460007,-0.086547254,-1.084245856,-0.914179625,-0.891653778,0.2220799905224976,-1.182781681,-0.935677861,-0.67863851,0.6097105355881632
2017-01-03,-0.758204919,-1.150316576,-0.141646023,-0.724425349,-1.117384754,-0.813230107,0.2876706913915016,-1.107984689,-0.900555468,-0.582878536,0.6097105355881632
2017-01-10,-0.695104291,-1.11817483,0.24404535895015947,-0.516836595,-1.647119504,-1.725051592,0.16245208052775004,-1.107984689,-0.877287803,-0.550153757,0.6097105355881632
2017-01-17,-0.762148708,-1.150316576,0.24404535895015947,-0.641389848,-1.111779095,-1.097662226,1.0270567744081036,-1.107984689,-0.870440041,-0.563360023,0.6097105355881632
2017-01-24,-0.781867654,-1.16638745,0.6297367408006749,-0.807460851,-0.975841871,-0.538942343,-0.910850298,-1.107984689,-0.841281828,-0.554662504,0.6097105355881632
2017-01-31,-0.860743439,-1.198529197,0.6297367408006749,-1.098085107,-1.343012518,-1.052402794,-0.487492138,-1.107984689,-0.829353468,-0.548262992,0.6097105355881632
2017-02-07,-0.935675435,-1.230670943,0.29914412778594807,-1.27799536,-1.328998371,-1.241243872,-0.028357231,-1.126683937,-0.797397244,-0.502739189,0.6097105355881632
2017-02-14,-0.904125121,-1.21460007,0.18894659011437184,-1.042728106,-1.250519149,-1.328641396,0.22804278139675382,-1.126683937,-0.769417141,-0.53918732,0.6097105355881632
2017-02-21,-0.90806891,-1.230670943,0.5195392031290986,-1.27799536,-0.842707476,-0.980611972,-0.839296806,-1.126683937,-0.751450969,-0.547739396,0.6097105355881632
2017-02-28,-0.935675435,-1.230670943,0.29914412778594807,-1.388709362,-0.47553683,-0.526456983,-0.290720035,-1.126683937,-0.764189279,-0.564378128,0.6097105355881632
2017-03-07,-0.943563013,-1.246741817,0.5195392031290986,-1.471744864,-1.191659732,-1.336704858,1.0111559984651568,-1.145383185,-0.749757436,-0.536598427,0.6097105355881632
2017-03-14,-0.900181332,-1.21460007,0.023650283607008944,-0.724425349,-1.51118228,-1.579909276,-0.731966569,-1.145383185,-0.817793267,-0.601582565,0.6097105355881632
2017-03-21,-0.927787856,-1.230670943,0.1338478212785842,-0.821300101,-0.949214992,-1.080494856,-0.86314797,-1.145383185,-0.939874877,-0.785888517,0.6097105355881632
2017-03-28,-0.892293753,-1.21460007,0.18894659011437184,-0.7659431,-0.726390058,-0.754314812,0.090898589,-1.145383185,-0.911452982,-0.769918825,0.6097105355881632
2017-04-04,-0.758204919,-1.150316576,0.24404535895015947,-0.738264599,-0.49375522,-0.393800027,1.3192335330901905,-1.107984689,-0.896579348,-0.741091931,0.6097105355881632
2017-04-11,-0.671441556,-1.11817483,0.023650283607008944,-0.710586099,-0.209968747,-0.195594929,1.1155048408516166,-1.107984689,-0.796145503,-0.569788624,0.6097105355881632
2017-04-18,-0.430870412,-1.005678716,0.6848355096364624,-0.129337587,-0.062119498,-0.23305101,-0.74389215,-1.107984689,-0.713972357,-0.443078282,0.6097105355881632
2017-04-25,-0.557071668,-1.053891336,0.24404535895015947,-0.101659087,-0.049506766,-0.151896167,0.7468055978919239,-1.107984689,-0.727152458,-0.473272344,0.6097105355881632
2017-05-02,-0.687216713,-1.11817483,0.5195392031290986,-0.502997345,0.079423385,0.083765013,2.064582407398444,-1.126683937,-0.800563414,-0.618919425,0.6097105355881632
2017-05-09,-0.817361758,-1.182458323,0.24404535895015947,-0.489158094,-0.286345848,-0.186230909,2.1659498543477755,-1.126683937,-0.813596252,-0.640037815,0.6097105355881632
2017-05-16,-0.773980076,-1.16638745,0.078749052,-0.461479594,0.10605026343600277,0.1180997541932966,-0.928738671,-1.126683937,-0.888774372,-0.758079728,0.6097105355881632
2017-05-23,-0.695104291,-1.11817483,0.078749052,-0.309247841,0.5326408928734384,0.48079947728930056,0.46506372344848296,-1.126683937,-0.816246998,-0.645681022,0.6097105355881632
2017-05-30,-0.639891242,-1.102103956,0.4093416654575233,-0.198533839,0.496344253,0.6409242264220885,3.6129204701646676,-1.126683937,-0.765293757,-0.556000584,0.6097105355881632
2017-06-06,-0.706935659,-1.134245703,0.4093416654575233,-0.184694588,0.4970449602228693,0.49578191022502155,-0.32053399,-1.126683937,-0.805791275,-0.623224551,0.6097105355881632
2017-06-13,-0.860743439,-1.198529197,0.46444043429331094,-0.406122593,1.2108321711423802,1.0740101689794512,-0.964515417,-1.126683937,-0.864328597,-0.742371834,0.6097105355881632
