Week Ending,Price,Taxes,Marketing Margin,Refining Margin,Avg Max Temp (°C),Avg Min Temp (°C),Avg Mean Temp (°C),Avg Precip (mm),Total CPI,"Total CPI, (seasonally adjusted)","Total CPI, Percentage Change over 1 year ago (unadjusted)",CPI_TRIM,CPI_MEDIAN,CPI_COMMON,"CPIX, Percentage Change over 1 year ago (unadjusted)","CPI-XFET, Percentage Change over 1 year ago (unadjusted)",CPIW,W.BCPI,W.ENER,Fuel Tax Rate
2016-06-28,-0.9711695378737926,-1.2628126902114585,0.46444043429331094,-0.47531884420509474,1.3266824514538245,1.115888148691641,1.229356779319954,-0.8253836275365333,-1.1987475830754406,-1.2482290501075224,-0.6907480357065102,-0.5564406966779739,-0.4980262301015765,-0.5778737218675031,-0.2046097106389979,-0.33120966904623267,-0.6108378602038844,-0.9837594598882375,-0.8675986530516484,0.6097105355881632
2016-07-05,-0.9711695378737926,-1.2628126902114585,0.6848355096364624,-0.4061225928194311,1.2832385965822803,0.9374515382957153,1.1239434725701867,-0.7379293594329313,-1.2173830934834005,-1.2575786742120099,-0.7960397787266714,-0.6362762293904263,-0.5872033406847837,-0.5778737218675031,-0.2046097106389979,-0.4092158807177772,-0.7370464497282728,-0.9945833420308499,-0.8656787993788265,0.6097105355881632
2016-07-12,-1.0934270042659509,-1.311025310415297,1.0705268914869768,-0.6552290978078203,1.4570140170494466,1.422819928185204,1.448330087741852,-0.5173060929114996,-1.2173830934834005,-1.2575786742120099,-0.7960397787266714,-0.6362762293904263,-0.5872033406847837,-0.5778737218675031,-0.2046097106389979,-0.4092158807177772,-0.7370464497282728,-0.9791206532556895,-0.8729800610739515,0.6097105355881632
2016-07-19,-1.132864896650518,-1.327096183816577,0.4093416654575233,-0.5306758453136254,1.3238796229300394,1.169991378130373,1.25873425780828,-0.3622735268416765,-1.2173830934834005,-1.2575786742120099,-0.7960397787266714,-0.6362762293904263,-0.5872033406847837,-0.5778737218675031,-0.2046097106389979,-0.4092158807177772,-0.7370464497282728,-1.0631345956007265,-1.024532146458809,0.6097105355881632
2016-07-26,-1.1762465782735423,-1.343167057217857,0.5195392031290986,-0.5306758453136254,1.5985569006641707,1.4196985878992232,1.5209097413315944,0.013382305749578273,-1.2173830934834005,-1.2575786742120099,-0.7960397787266714,-0.6362762293904263,-0.5872033406847837,-0.5778737218675031,-0.2046097106389979,-0.4092158807177772,-0.7370464497282728,-1.0663743970583792,-1.0344804791270668,0.6097105355881632
2016-08-02,-1.207796892181196,-1.3592379306191367,0.6297367408006749,-0.3230870911566345,1.3322881104633753,1.4056525582510122,1.3727879991635896,-0.17146421510892101,-1.236018603891363,-1.2482290501075224,-0.9013315217468326,-0.6362762293904263,-0.5872033406847837,-0.6439383303886951,-0.40352727143315187,-0.5652283040608661,-0.800150744490467,-1.1397117209634244,-1.1391125042958448,0.6097105355881632
2016-08-09,-1.1880779459889124,-1.3592379306191367,0.29914412778594807,-0.309247840879502,1.548105971540193,1.422819928185204,1.4957290454844576,-0.9645154172460144,-1.236018603891363,-1.2482290501075224,-0.9013315217468326,-0.6362762293904263,-0.5872033406847837,-0.6439383303886951,-0.40352727143315187,-0.5652283040608661,-0.800150744490467,-1.2229893447953584,-1.270506126116076,0.6097105355881632
2016-08-16,-1.2354034168503931,-1.3753088040204156,0.5746379719648872,-0.7659431000248819,1.510034205817059,1.6069789963183296,1.5317720019193133,1.5815963369836012,-1.236018603891363,-1.2482290501075224,-0.9013315217468326,-0.6362762293904263,-0.5872033406847837,-0.6439383303886951,-0.40352727143315187,-0.5652283040608661,-0.800150744490467,-1.1806510302919437,-1.1995006289136887,0.6097105355881632
2016-08-23,-1.1565276320812587,-1.343167057217857,0.4093416654575233,-0.8074608508562802,1.3070626459013865,1.2324181805725858,1.2898398236324555,-0.6584254797181979,-1.236018603891363,-1.2482290501075224,-0.9013315217468326,-0.6362762293904263,-0.5872033406847837,-0.6439383303886951,-0.40352727143315187,-0.5652283040608661,-0.800150744490467,-1.0884639524514652,-1.0498393085096398,0.6097105355881632
2016-08-30,-1.109202161219778,-1.327096183816577,0.46444043429331094,-0.6275505972535544,1.4205772354493462,1.3338617349508568,1.3846377380808153,-0.22512933422941256,-1.236018603891363,-1.2482290501075224,-0.9013315217468326,-0.6362762293904263,-0.5872033406847837,-0.6439383303886951,-0.40352727143315187,-0.5652283040608661,-0.800150744490467,-1.02550871958117,-0.9239143607877492,0.6097105355881632
2016-09-06,-1.2038531029427395,-1.3592379306191367,1.180724429158553,-1.2087991088931296,1.1430971282104392,1.0248490619333062,1.0913566897701776,-0.9466270442058506,-1.2267008486873805,-1.2295298018985448,-0.7960397787266714,-0.7161117621028784,-0.5872033406847837,-0.776067547431079,-0.40352727143315187,-0.48722209238932174,-0.800150744490467,-1.0819107176848493,-0.9588498798947002,0.6097105355881632
2016-09-13,-1.2551223630426767,-1.3913796774216953,0.07874905244279658,-1.4163878630501208,1.3224782076871564,1.2183721498319058,1.2794713016910637,1.3132707422159344,-1.2267008486873805,-1.2295298018985448,-0.7960397787266714,-0.7161117621028784,-0.5872033406847837,-0.776067547431079,-0.40352727143315187,-0.48722209238932174,-0.800150744490467,-1.1505356031060363,-1.0672634350250965,0.6097105355881632
2016-09-20,-1.1407524751274316,-1.327096183816577,0.46444043429331094,-0.9181748530733421,0.9202721938621781,0.9764682902317738,0.952122251530879,-0.31457119901283637,-1.2267008486873805,-1.2295298018985448,-0.7960397787266714,-0.7161117621028784,-0.5872033406847837,-0.776067547431079,-0.40352727143315187,-0.48722209238932174,-0.800150744490467,-1.1188002751913029,-0.9987304766437671,0.6097105355881632
2016-09-27,-1.184134156750456,-1.3592379306191367,0.24404535895015947,-1.1672813580617314,0.6206030214271985,0.6268781956814087,0.5899645925885091,-0.24798669938652632,-1.2267008486873805,-1.2295298018985448,-0.7960397787266714,-0.7161117621028784,-0.5872033406847837,-0.776067547431079,-0.40352727143315187,-0.48722209238932174,-0.800150744490467,-1.168649038528367,-1.0814005393431467,0.6097105355881632
2016-10-04,-1.0894832150274942,-1.311025310415297,0.24404535895015947,-1.1534421077845984,0.4550025196132181,0.828204633748726,0.6351417243489386,-0.5411572568259196,-1.1987475830754406,-1.2014809295850826,-0.6907480357065102,-0.7161117621028784,-0.4980262301015765,-0.8421321559522711,-0.4698331250312032,-0.5652283040608661,-0.800150744490467,-1.0936181820431852,-0.9889566761275846,0.6097105355881632
2016-10-11,-1.0342701656891,-1.2788835636127383,-0.0865472540645673,-1.2087991088931296,0.3793261269082416,0.3802923251060706,0.38333476276701584,-0.8035200603019351,-1.1987475830754406,-1.2014809295850826,-0.6907480357065102,-0.7161117621028784,-0.4980262301015765,-0.8421321559522711,-0.4698331250312032,-0.5652283040608661,-0.800150744490467,-1.0230788684879304,-0.8392953557235358,0.6097105355881632
2016-10-18,-1.061876690358297,-1.2949544370140171,0.29914412778594807,-1.3610308619415894,0.5629114501516267,0.5191919607311754,0.5477498958165988,-0.8273712242163551,-1.1987475830754406,-1.2014809295850826,-0.6907480357065102,-0.7161117621028784,-0.4980262301015765,-0.8421321559522711,-0.4698331250312032,-0.5652283040608661,-0.800150744490467,-0.9762490110545884,-0.7218061286852553,0.6097105355881632
2016-10-25,-1.0027198517814462,-1.2628126902114585,0.023650283607008944,-1.1534421077845984,-0.16722559905524587,-0.0036325108421350577,-0.08769237718207942,-0.29668282597267254,-1.1987475830754406,-1.2014809295850826,-0.6907480357065102,-0.7161117621028784,-0.4980262301015765,-0.8421321559522711,-0.4698331250312032,-0.5652283040608661,-0.800150744490467,-0.9796360762148615,-0.7192172350961474,0.6097105355881632
2016-11-01,-1.02243879797373,-1.2788835636127383,0.4093416654575233,-1.0704066061218023,-0.26252179829365047,-0.346979925148279,-0.3009876856758986,-0.3563107359674203,-1.245336359095343,-1.2201801777940573,-0.848685650236752,-0.875782827527783,-0.6763804512679908,-0.974261372994655,-0.6024448322273058,-0.721240727403955,-0.9263593340148554,-1.017261952234418,-0.7865284684129538,0.6097105355881632
2016-11-08,-1.026382587212187,-1.2788835636127383,0.24404535895015947,-0.613711346976422,0.06120499332157598,0.024459550311484002,0.04709840764127314,0.5858102409478447,-1.245336359095343,-1.2201801777940573,-0.848685650236752,-0.875782827527783,-0.6763804512679908,-0.974261372994655,-0.6024448322273058,-0.721240727403955,-0.9263593340148554,-1.0762410651339573,-0.9171076068568361,0.6097105355881632
2016-11-15,-1.2117406814196525,-1.3592379306191367,0.6297367408006749,-1.2503168597245276,-0.15110933062902485,-0.40004270738803,-0.3034563813959795,-0.9645154172460144,-1.245336359095343,-1.2201801777940573,-0.848685650236752,-0.875782827527783,-0.6763804512679908,-0.974261372994655,-0.6024448322273058,-0.721240727403955,-0.9263593340148554,-1.157383365277893,-1.0749428497163829,0.6097105355881632
2016-11-22,-1.2787850984734168,-1.3913796774216953,-0.03144848522877967,-1.4855841144357842,-0.5091707819610175,-0.5483063635433372,-0.5276139509959437,-0.6127107485691796,-1.245336359095343,-1.2201801777940573,-0.848685650236752,-0.875782827527783,-0.6763804512679908,-0.974261372994655,-0.6024448322273058,-0.721240727403955,-0.9263593340148554,-1.163494808936647,-1.0941413864445992,0.6097105355881632
2016-11-29,-1.1762465782735423,-1.343167057217857,0.07874905244279658,-1.2087991088931296,-0.6997631787701433,-0.4031640474555172,-0.5587195168201191,-0.17742700598317712,-1.245336359095343,-1.2201801777940573,-0.848685650236752,-0.875782827527783,-0.6763804512679908,-0.974261372994655,-0.6024448322273058,-0.721240727403955,-0.9263593340148554,-1.082499772495332,-0.9659475207457374,0.6097105355881632
2016-12-06,-1.061876690358297,-1.2949544370140171,-0.2518435605719302,-1.181120608338864,-0.7137773256073275,-0.4187707481206938,-0.5750129084274941,0.10282417053300229,-1.2639718695033029,-1.182781681376105,-0.6907480357065102,-0.875782827527783,-0.7655575618511979,-0.9081967644734629,-0.5361389786292544,-0.6432345157324106,-0.8632550392526612,-1.049365439405703,-0.9306047599506123,0.6097105355881632
2016-12-13,-1.0342701656891,-1.2788835636127383,0.3542428966217357,-1.2918346105559257,-1.3121813949566854,-1.1444823283413,-1.2400795300671439,0.10282417053300229,-1.2639718695033029,-1.182781681376105,-0.6907480357065102,-0.875782827527783,-0.7655575618511979,-0.9081967644734629,-0.5361389786292544,-0.6432345157324106,-0.8632550392526612,-0.9250012425426287,-0.6941136938894041,0.6097105355881632
2016-12-20,-1.0184950087352733,-1.2788835636127383,-0.0865472540645673,-1.236477609447395,-1.7045775060054447,-1.725051592474086,-1.7229564090371496,0.1087869614072585,-1.2639718695033029,-1.182781681376105,-0.6907480357065102,-0.875782827527783,-0.7655575618511979,-0.9081967644734629,-0.5361389786292544,-0.6432345157324106,-0.8632550392526612,-0.9068141752689882,-0.6519060017793411,0.6097105355881632
2016-12-27,-0.8962375423431146,-1.2146000700076187,-0.0865472540645673,-1.0842458563989348,-0.9141796251926723,-0.8916537778494812,-0.905324393057772,0.2220799905224976,-1.2639718695033029,-1.182781681376105,-0.6907480357065102,-0.875782827527783,-0.7655575618511979,-0.9081967644734629,-0.5361389786292544,-0.6432345157324106,-0.8632550392526612,-0.9356778609826206,-0.6786385097387813,0.6097105355881632
2017-01-03,-0.7582049189971293,-1.1503165764025003,-0.1416460229003549,-0.724425349193484,-1.1173847540865944,-0.8132301070697858,-0.9645730899249738,0.2876706913915016,-1.161476562259518,-1.1079846885402027,-0.37487280664602646,-0.875782827527783,-0.7655575618511979,-0.974261372994655,-0.4698331250312032,-0.33120966904623267,-0.7370464497282728,-0.9005554679076136,-0.5828785356338001,0.6097105355881632
2017-01-10,-0.6951042911818219,-1.1181748295999416,0.24404535895015947,-0.516836595036493,-1.6471195040024194,-1.725051592474086,-1.6918508432129744,0.16245208052775004,-1.161476562259518,-1.1079846885402027,-0.37487280664602646,-0.875782827527783,-0.7655575618511979,-0.974261372994655,-0.4698331250312032,-0.33120966904623267,-0.7370464497282728,-0.8772878028935633,-0.5501537571197953,0.6097105355881632
2017-01-17,-0.7621487082355863,-1.1503165764025003,0.24404535895015947,-0.6413898475306874,-1.1117790953713405,-1.0976622264550169,-1.109732397104459,1.0270567744081036,-1.161476562259518,-1.1079846885402027,-0.37487280664602646,-0.875782827527783,-0.7655575618511979,-0.974261372994655,-0.4698331250312032,-0.33120966904623267,-0.7370464497282728,-0.8704400407217067,-0.5633600232934469,0.6097105355881632
2017-01-24,-0.78186765442787,-1.1663874498037803,0.6297367408006749,-0.8074608508562802,-0.9758418711585635,-0.5389423431223819,-0.7705336078196785,-0.9108502981255229,-1.161476562259518,-1.1079846885402027,-0.37487280664602646,-0.875782827527783,-0.7655575618511979,-0.974261372994655,-0.4698331250312032,-0.33120966904623267,-0.7370464497282728,-0.841281827602833,-0.5546625043817247,0.6097105355881632
